!!SBtab	Document='Findsim' TableName='Reaction' TableType='Reaction' TableTitle='Findsim Reaction Fluxes' SBtabVersion='1.0'						
!ID	!Name	!ReactionRate	!KineticLaw	!IsReversible	!Location	!KineticLawType	!ReactionFormula
R24	ReactionFlux24	kf_R25 * EGFR * EGF-kr_R25 * L_EGFR	Cell*kf_R25 + EGFR + EGF-Cell*kr_R25 + L_EGFR	true	Cell	MassAction	EGFR + EGF <=> L_EGFR
R25	ReactionFlux25	kf_R26 * L_EGFR-kr_R26 * Internal_L_EGFR	Cell*kf_R26 + L_EGFR-Cell*kr_R26 + Internal_L_EGFR	true	Cell	MassAction	L_EGFR <=> Internal_L_EGFR
R26	ReactionFlux26	kf_R27 * SHC_p	Cell*kf_R27 + SHC_p	false	Cell	MassAction	SHC_p <=> SHC
R27	ReactionFlux27	kf_R28 * Sos_Grb2 * SHC_p-kr_R28 * SHC_p_Sos_Grb2	Cell*kf_R28 + Sos_Grb2 + SHC_p-Cell*kr_R28 + SHC_p_Sos_Grb2	true	Cell	MassAction	Sos_Grb2 + SHC_p <=> SHC_p_Sos_Grb2
R28	ReactionFlux28	kf_R29 * Grb2 * Sos_p-kr_R29 * Sos_p_Grb2	Cell*kf_R29 + Grb2 + Sos_p-Cell*kr_R29 + Sos_p_Grb2	true	Cell	MassAction	Grb2 + Sos_p <=> Sos_p_Grb2
R29	ReactionFlux29	kf_R30 * Sos_p	Cell*kf_R30 + Sos_p	false	Cell	MassAction	Sos_p <=> Sos
R30	ReactionFlux30	kf_R31 * Grb2 * Sos-kr_R31 * Sos_Grb2	Cell*kf_R31 + Grb2 + Sos-Cell*kr_R31 + Sos_Grb2	true	Cell	MassAction	Grb2 + Sos <=> Sos_Grb2
R31	ReactionFlux31	kf_R32 * Grb2 * SHC_p-kr_R32 * SHC_p_Grb2_clx	Cell*kf_R32 + Grb2 + SHC_p-Cell*kr_R32 + SHC_p_Grb2_clx	true	Cell	MassAction	Grb2 + SHC_p <=> SHC_p_Grb2_clx
R32	ReactionFlux32	kf_R33 * Ca * PLC_g-kr_R33 * Ca_PLC_g	Cell*kf_R33 + Ca + PLC_g-Cell*kr_R33 + Ca_PLC_g	true	Cell	MassAction	Ca + PLC_g <=> Ca_PLC_g
R33	ReactionFlux33	kf_R34 * Ca * PLC_g_p-kr_R34 * Ca_PLC_g_p	Cell*kf_R34 + Ca + PLC_g_p-Cell*kr_R34 + Ca_PLC_g_p	true	Cell	MassAction	Ca + PLC_g_p <=> Ca_PLC_g_p
R34	ReactionFlux34	kf_R35 * Ca_PLC_g_p	Cell*kf_R35 + Ca_PLC_g_p	false	Cell	MassAction	Ca_PLC_g_p <=> Ca_PLC_g
R35	ReactionFlux35	kf_R36 * PLC_g_p	Cell*kf_R36 + PLC_g_p	false	Cell	MassAction	PLC_g_p <=> PLC_g
R36	ReactionFlux36	kf_R37 * craf_1 * PKC_active-kr_R37 * PKC_act_raf_cplx	Cell*kf_R37 + craf_1 + PKC_active-Cell*kr_R37 + PKC_act_raf_cplx	true	Cell	MassAction	craf_1 + PKC_active <=> PKC_act_raf_cplx
R37	ReactionFlux37	kf_R38 * PKC_act_raf_cplx	Cell*kf_R38 + PKC_act_raf_cplx	false	Cell	MassAction	PKC_act_raf_cplx <=> PKC_active + craf_1_p
R38	ReactionFlux38	kf_R39 * GAP * PKC_active-kr_R39 * PKC_inact_GAP_cplx	Cell*kf_R39 + GAP + PKC_active-Cell*kr_R39 + PKC_inact_GAP_cplx	true	Cell	MassAction	GAP + PKC_active <=> PKC_inact_GAP_cplx
R39	ReactionFlux39	kf_R40 * PKC_inact_GAP_cplx	Cell*kf_R40 + PKC_inact_GAP_cplx	false	Cell	MassAction	PKC_inact_GAP_cplx <=> GAP_p + PKC_active
R40	ReactionFlux40	kf_R41 * inact_GEF * PKC_active-kr_R41 * PKC_act_GEF_cplx	Cell*kf_R41 + inact_GEF + PKC_active-Cell*kr_R41 + PKC_act_GEF_cplx	true	Cell	MassAction	inact_GEF + PKC_active <=> PKC_act_GEF_cplx
R41	ReactionFlux41	kf_R42 * PKC_act_GEF_cplx	Cell*kf_R42 + PKC_act_GEF_cplx	false	Cell	MassAction	PKC_act_GEF_cplx <=> GEF_p + PKC_active
R42	ReactionFlux42	kf_R43 * PLA2_Ca_p * APC-kr_R43 * kenz_cplx	Cell*kf_R43 + PLA2_Ca_p + APC-Cell*kr_R43 + kenz_cplx	true	Cell	MassAction	PLA2_Ca_p + APC <=> kenz_cplx
R43	ReactionFlux43	kf_R44 * kenz_cplx	Cell*kf_R44 + kenz_cplx	false	Cell	MassAction	kenz_cplx <=> PLA2_Ca_p + Arachidonic_Acid
R44	ReactionFlux44	kf_R45 * APC * PIP2_PLA2_p-kr_R45 * kenz_cplx_1	Cell*kf_R45 + APC + PIP2_PLA2_p-Cell*kr_R45 + kenz_cplx_1	true	Cell	MassAction	APC + PIP2_PLA2_p <=> kenz_cplx_1
R45	ReactionFlux45	kf_R46 * kenz_cplx_1	Cell*kf_R46 + kenz_cplx_1	false	Cell	MassAction	kenz_cplx_1 <=> PIP2_PLA2_p + Arachidonic_Acid
R46	ReactionFlux46	kf_R47 * APC * PIP2_Ca_PLA2_p-kr_R47 * kenz_cplx_2	Cell*kf_R47 + APC + PIP2_Ca_PLA2_p-Cell*kr_R47 + kenz_cplx_2	true	Cell	MassAction	APC + PIP2_Ca_PLA2_p <=> kenz_cplx_2
R47	ReactionFlux47	kf_R48 * kenz_cplx_2	Cell*kf_R48 + kenz_cplx_2	false	Cell	MassAction	kenz_cplx_2 <=> PIP2_Ca_PLA2_p + Arachidonic_Acid
R48	ReactionFlux48	kf_R49 * APC * DAG_Ca_PLA2_p-kr_R49 * kenz_cplx_3	Cell*kf_R49 + APC + DAG_Ca_PLA2_p-Cell*kr_R49 + kenz_cplx_3	true	Cell	MassAction	APC + DAG_Ca_PLA2_p <=> kenz_cplx_3
R49	ReactionFlux49	kf_R50 * kenz_cplx_3	Cell*kf_R50 + kenz_cplx_3	false	Cell	MassAction	kenz_cplx_3 <=> DAG_Ca_PLA2_p + Arachidonic_Acid
R50	ReactionFlux50	kf_R51 * APC * PLA2_p_Ca-kr_R51 * kenz_cplx_4	Cell*kf_R51 + APC + PLA2_p_Ca-Cell*kr_R51 + kenz_cplx_4	true	Cell	MassAction	APC + PLA2_p_Ca <=> kenz_cplx_4
R51	ReactionFlux51	kf_R52 * kenz_cplx_4	Cell*kf_R52 + kenz_cplx_4	false	Cell	MassAction	kenz_cplx_4 <=> PLA2_p_Ca + Arachidonic_Acid
R52	ReactionFlux52	kf_R53 * PIP2 * PLC_Ca-kr_R53 * PLC_Ca_cplx	Cell*kf_R53 + PIP2 + PLC_Ca-Cell*kr_R53 + PLC_Ca_cplx	true	Cell	MassAction	PIP2 + PLC_Ca <=> PLC_Ca_cplx
R53	ReactionFlux53	kf_R54 * PLC_Ca_cplx	Cell*kf_R54 + PLC_Ca_cplx	false	Cell	MassAction	PLC_Ca_cplx <=> PLC_Ca + DAG + IP3
R54	ReactionFlux54	kf_R55 * PIP2 * PLC_Ca_Gq-kr_R55 * PLCb_Ca_Gq_cplx	Cell*kf_R55 + PIP2 + PLC_Ca_Gq-Cell*kr_R55 + PLCb_Ca_Gq_cplx	true	Cell	MassAction	PIP2 + PLC_Ca_Gq <=> PLCb_Ca_Gq_cplx
R55	ReactionFlux55	kf_R56 * PLCb_Ca_Gq_cplx	Cell*kf_R56 + PLCb_Ca_Gq_cplx	false	Cell	MassAction	PLCb_Ca_Gq_cplx <=> DAG + PLC_Ca_Gq + IP3
R56	ReactionFlux56	kf_R57 * MAPK_p_p * PLA2_cytosolic-kr_R57 * MAPK_p_p_cplx	Cell*kf_R57 + MAPK_p_p + PLA2_cytosolic-Cell*kr_R57 + MAPK_p_p_cplx	true	Cell	MassAction	MAPK_p_p + PLA2_cytosolic <=> MAPK_p_p_cplx
R57	ReactionFlux57	kf_R58 * MAPK_p_p_cplx	Cell*kf_R58 + MAPK_p_p_cplx	false	Cell	MassAction	MAPK_p_p_cplx <=> MAPK_p_p + PLA2_p
R58	ReactionFlux58	kf_R59 * MAPK_p_p * craf_1_p-kr_R59 * MAPK_p_p_feedback_cplx	Cell*kf_R59 + MAPK_p_p + craf_1_p-Cell*kr_R59 + MAPK_p_p_feedback_cplx	true	Cell	MassAction	MAPK_p_p + craf_1_p <=> MAPK_p_p_feedback_cplx
R59	ReactionFlux59	kf_R60 * MAPK_p_p_feedback_cplx	Cell*kf_R60 + MAPK_p_p_feedback_cplx	false	Cell	MassAction	MAPK_p_p_feedback_cplx <=> MAPK_p_p + craf_1_p_p
R60	ReactionFlux60	kf_R61 * MAPK_p_p * Sos-kr_R61 * phosph_Sos_cplx	Cell*kf_R61 + MAPK_p_p + Sos-Cell*kr_R61 + phosph_Sos_cplx	true	Cell	MassAction	MAPK_p_p + Sos <=> phosph_Sos_cplx
R61	ReactionFlux61	kf_R62 * phosph_Sos_cplx	Cell*kf_R62 + phosph_Sos_cplx	false	Cell	MassAction	phosph_Sos_cplx <=> MAPK_p_p + Sos_p
R62	ReactionFlux62	kf_R63 * MAPKK_p_p * MAPK-kr_R63 * MAPKKtyr_cplx	Cell*kf_R63 + MAPKK_p_p + MAPK-Cell*kr_R63 + MAPKKtyr_cplx	true	Cell	MassAction	MAPKK_p_p + MAPK <=> MAPKKtyr_cplx
R63	ReactionFlux63	kf_R64 * MAPKKtyr_cplx	Cell*kf_R64 + MAPKKtyr_cplx	false	Cell	MassAction	MAPKKtyr_cplx <=> MAPKK_p_p + MAPK_p
R64	ReactionFlux64	kf_R65 * MAPKK_p_p * MAPK_p-kr_R65 * MAPKKthr_cplx	Cell*kf_R65 + MAPKK_p_p + MAPK_p-Cell*kr_R65 + MAPKKthr_cplx	true	Cell	MassAction	MAPKK_p_p + MAPK_p <=> MAPKKthr_cplx
R65	ReactionFlux65	kf_R66 * MAPKKthr_cplx	Cell*kf_R66 + MAPKKthr_cplx	false	Cell	MassAction	MAPKKthr_cplx <=> MAPKK_p_p + MAPK_p_p
R66	ReactionFlux66	kf_R67 * MAPKK * Raf_p_GTP_Ras-kr_R67 * Raf_p_GTP_Ras_1_cplx	Cell*kf_R67 + MAPKK + Raf_p_GTP_Ras-Cell*kr_R67 + Raf_p_GTP_Ras_1_cplx	true	Cell	MassAction	MAPKK + Raf_p_GTP_Ras <=> Raf_p_GTP_Ras_1_cplx
R67	ReactionFlux67	kf_R68 * Raf_p_GTP_Ras_1_cplx	Cell*kf_R68 + Raf_p_GTP_Ras_1_cplx	false	Cell	MassAction	Raf_p_GTP_Ras_1_cplx <=> MAPKK_p + Raf_p_GTP_Ras
R68	ReactionFlux68	kf_R69 * MAPKK_p * Raf_p_GTP_Ras-kr_R69 * Raf_p_GTP_Ras_2_cplx	Cell*kf_R69 + MAPKK_p + Raf_p_GTP_Ras-Cell*kr_R69 + Raf_p_GTP_Ras_2_cplx	true	Cell	MassAction	MAPKK_p + Raf_p_GTP_Ras <=> Raf_p_GTP_Ras_2_cplx
R69	ReactionFlux69	kf_R70 * Raf_p_GTP_Ras_2_cplx	Cell*kf_R70 + Raf_p_GTP_Ras_2_cplx	false	Cell	MassAction	Raf_p_GTP_Ras_2_cplx <=> MAPKK_p_p + Raf_p_GTP_Ras
R70	ReactionFlux70	kf_R71 * inact_GEF * GDP_Ras-kr_R71 * basal_GEF_activity_cplx	Cell*kf_R71 + inact_GEF + GDP_Ras-Cell*kr_R71 + basal_GEF_activity_cplx	true	Cell	MassAction	inact_GEF + GDP_Ras <=> basal_GEF_activity_cplx
R71	ReactionFlux71	kf_R72 * basal_GEF_activity_cplx	Cell*kf_R72 + basal_GEF_activity_cplx	false	Cell	MassAction	basal_GEF_activity_cplx <=> inact_GEF + GTP_Ras
R72	ReactionFlux72	kf_R73 * GEF_p * GDP_Ras-kr_R73 * GEF_p_act_Ras_cplx	Cell*kf_R73 + GEF_p + GDP_Ras-Cell*kr_R73 + GEF_p_act_Ras_cplx	true	Cell	MassAction	GEF_p + GDP_Ras <=> GEF_p_act_Ras_cplx
R73	ReactionFlux73	kf_R74 * GEF_p_act_Ras_cplx	Cell*kf_R74 + GEF_p_act_Ras_cplx	false	Cell	MassAction	GEF_p_act_Ras_cplx <=> GEF_p + GTP_Ras
R74	ReactionFlux74	kf_R75 * GAP * GTP_Ras-kr_R75 * GAP_inact_Ras_cplx	Cell*kf_R75 + GAP + GTP_Ras-Cell*kr_R75 + GAP_inact_Ras_cplx	true	Cell	MassAction	GAP + GTP_Ras <=> GAP_inact_Ras_cplx
R75	ReactionFlux75	kf_R76 * GAP_inact_Ras_cplx	Cell*kf_R76 + GAP_inact_Ras_cplx	false	Cell	MassAction	GAP_inact_Ras_cplx <=> GAP + GDP_Ras
R76	ReactionFlux76	kf_R77 * GDP_Ras * CaM_GEF-kr_R77 * CaM_GEF_act_Ras_cplx	Cell*kf_R77 + GDP_Ras + CaM_GEF-Cell*kr_R77 + CaM_GEF_act_Ras_cplx	true	Cell	MassAction	GDP_Ras + CaM_GEF <=> CaM_GEF_act_Ras_cplx
R77	ReactionFlux77	kf_R78 * CaM_GEF_act_Ras_cplx	Cell*kf_R78 + CaM_GEF_act_Ras_cplx	false	Cell	MassAction	CaM_GEF_act_Ras_cplx <=> GTP_Ras + CaM_GEF
R78	ReactionFlux78	kf_R79 * L_EGFR * Ca_PLC_g-kr_R79 * Ca_PLC_g_phospho_cplx	Cell*kf_R79 + L_EGFR + Ca_PLC_g-Cell*kr_R79 + Ca_PLC_g_phospho_cplx	true	Cell	MassAction	L_EGFR + Ca_PLC_g <=> Ca_PLC_g_phospho_cplx
R79	ReactionFlux79	kf_R80 * Ca_PLC_g_phospho_cplx	Cell*kf_R80 + Ca_PLC_g_phospho_cplx	false	Cell	MassAction	Ca_PLC_g_phospho_cplx <=> Ca_PLC_g_p + L_EGFR
R80	ReactionFlux80	kf_R81 * L_EGFR * SHC-kr_R81 * SHC_phospho_cplx	Cell*kf_R81 + L_EGFR + SHC-Cell*kr_R81 + SHC_phospho_cplx	true	Cell	MassAction	L_EGFR + SHC <=> SHC_phospho_cplx
R81	ReactionFlux81	kf_R82 * SHC_phospho_cplx	Cell*kf_R82 + SHC_phospho_cplx	false	Cell	MassAction	SHC_phospho_cplx <=> L_EGFR + SHC_p
R82	ReactionFlux82	kf_R83 * SHC_p_Sos_Grb2 * GDP_Ras-kr_R83 * Sos_Ras_GEF_cplx	Cell*kf_R83 + SHC_p_Sos_Grb2 + GDP_Ras-Cell*kr_R83 + Sos_Ras_GEF_cplx	true	Cell	MassAction	SHC_p_Sos_Grb2 + GDP_Ras <=> Sos_Ras_GEF_cplx
R83	ReactionFlux83	kf_R84 * Sos_Ras_GEF_cplx	Cell*kf_R84 + Sos_Ras_GEF_cplx	false	Cell	MassAction	Sos_Ras_GEF_cplx <=> SHC_p_Sos_Grb2 + GTP_Ras
R84	ReactionFlux84	(kf_R85*PIP2*Ca_PLC_g/(kr_R85+PIP2))	cell*(kf_R85*PIP2*Ca_PLC_g/(kr_R85+PIP2))	true	Cell	Henri-Michaelis-Menten	PIP2 + Ca_PLC_g <=> DAG + IP3 + Ca_PLC_g
R85	ReactionFlux85	(kf_R86*PIP2*Ca_PLC_g_p/(kr_R86+PIP2))	cell*(kf_R86*PIP2*Ca_PLC_g_p/(kr_R86+PIP2))	true	Cell	Henri-Michaelis-Menten	PIP2 + Ca_PLC_g_p <=> DAG + IP3 + Ca_PLC_g_p
R86	ReactionFlux86	kf_R87 * PLCg_basal * PLC_g-kr_R87 * PLC_g_phospho_cplx	Cell*kf_R87 + PLCg_basal + PLC_g-Cell*kr_R87 + PLC_g_phospho_cplx	true	Cell	MassAction	PLCg_basal + PLC_g <=> PLC_g_phospho_cplx
R87	ReactionFlux87	kf_R88 * PLC_g_phospho_cplx	Cell*kf_R88 + PLC_g_phospho_cplx	false	Cell	MassAction	PLC_g_phospho_cplx <=> PLCg_basal + PLC_g_p
R88	ReactionFlux88	kf_R89 * MKP_1 * MAPK_p-kr_R89 * MKP1_tyr_deph_cplx	Cell*kf_R89 + MKP_1 + MAPK_p-Cell*kr_R89 + MKP1_tyr_deph_cplx	true	Cell	MassAction	MKP_1 + MAPK_p <=> MKP1_tyr_deph_cplx
R89	ReactionFlux89	kf_R90 * MKP1_tyr_deph_cplx	Cell*kf_R90 + MKP1_tyr_deph_cplx	false	Cell	MassAction	MKP1_tyr_deph_cplx <=> MAPK + MKP_1
R90	ReactionFlux90	kf_R91 * MAPK_p_p * MKP_1-kr_R91 * MKP1_thr_deph_cplx	Cell*kf_R91 + MAPK_p_p + MKP_1-Cell*kr_R91 + MKP1_thr_deph_cplx	true	Cell	MassAction	MAPK_p_p + MKP_1 <=> MKP1_thr_deph_cplx
R91	ReactionFlux91	kf_R92 * MKP1_thr_deph_cplx	Cell*kf_R92 + MKP1_thr_deph_cplx	false	Cell	MassAction	MKP1_thr_deph_cplx <=> MKP_1 + MAPK_p
R92	ReactionFlux92	kf_R93 * craf_1_p * PPhosphatase2A-kr_R93 * craf_dephospho_cplx	Cell*kf_R93 + craf_1_p + PPhosphatase2A-Cell*kr_R93 + craf_dephospho_cplx	true	Cell	MassAction	craf_1_p + PPhosphatase2A <=> craf_dephospho_cplx
R93	ReactionFlux93	kf_R94 * craf_dephospho_cplx	Cell*kf_R94 + craf_dephospho_cplx	false	Cell	MassAction	craf_dephospho_cplx <=> craf_1 + PPhosphatase2A
R94	ReactionFlux94	kf_R95 * MAPKK_p_p * PPhosphatase2A-kr_R95 * MAPKK_dephospho_cplx	Cell*kf_R95 + MAPKK_p_p + PPhosphatase2A-Cell*kr_R95 + MAPKK_dephospho_cplx	true	Cell	MassAction	MAPKK_p_p + PPhosphatase2A <=> MAPKK_dephospho_cplx
R95	ReactionFlux95	kf_R96 * MAPKK_dephospho_cplx	Cell*kf_R96 + MAPKK_dephospho_cplx	false	Cell	MassAction	MAPKK_dephospho_cplx <=> MAPKK_p + PPhosphatase2A
R96	ReactionFlux96	kf_R97 * MAPKK_p * PPhosphatase2A-kr_R97 * MAPKK_dephospho_ser_cplx	Cell*kf_R97 + MAPKK_p + PPhosphatase2A-Cell*kr_R97 + MAPKK_dephospho_ser_cplx	true	Cell	MassAction	MAPKK_p + PPhosphatase2A <=> MAPKK_dephospho_ser_cplx
R97	ReactionFlux97	kf_R98 * MAPKK_dephospho_ser_cplx	Cell*kf_R98 + MAPKK_dephospho_ser_cplx	false	Cell	MassAction	MAPKK_dephospho_ser_cplx <=> MAPKK + PPhosphatase2A
R98	ReactionFlux98	kf_R99 * craf_1_p_p * PPhosphatase2A-kr_R99 * craf_p_p_dephospho_cplx	Cell*kf_R99 + craf_1_p_p + PPhosphatase2A-Cell*kr_R99 + craf_p_p_dephospho_cplx	true	Cell	MassAction	craf_1_p_p + PPhosphatase2A <=> craf_p_p_dephospho_cplx
R99	ReactionFlux99	kf_R100 * craf_p_p_dephospho_cplx	Cell*kf_R100 + craf_p_p_dephospho_cplx	false	Cell	MassAction	craf_p_p_dephospho_cplx <=> PPhosphatase2A + craf_1_p
R100	ReactionFlux100	kf_R101 * craf_1_p_ser259 * PPhosphatase2A-kr_R101 * deph_raf_ser259_cplx	Cell*kf_R101 + craf_1_p_ser259 + PPhosphatase2A-Cell*kr_R101 + deph_raf_ser259_cplx	true	Cell	MassAction	craf_1_p_ser259 + PPhosphatase2A <=> deph_raf_ser259_cplx
R101	ReactionFlux101	kf_R102 * deph_raf_ser259_cplx	Cell*kf_R102 + deph_raf_ser259_cplx	false	Cell	MassAction	deph_raf_ser259_cplx <=> craf_1 + PPhosphatase2A
